Weather_ID,temperature,dew_point,humidity,wind_speed,wind_direction_degrees,wind_direction,visibility,pressure,weather_condition,fog,rain,snow,hail,thunder,tornado,weather_date,weather_time
0,46,43,89,4.6,40,NE,2.5,30.07,Light Rain,No,Yes,No,No,No,No,12/31/2015,0:15:00
1,46,43,89,4.6,0,Variable,4,30.06,Overcast,No,No,No,No,No,No,12/31/2015,0:42:00
2,46,43,89,3.5,20,NNE,5,30.04,Overcast,No,No,No,No,No,No,12/31/2015,0:51:00
3,45,42.1,90,4.6,0,Variable,8,30.02,Overcast,No,No,No,No,No,No,12/31/2015,1:51:00
4,45,42.1,90,0,0,North,8,30.03,Overcast,No,No,No,No,No,No,12/31/2015,2:51:00
5,44.1,41,89,4.6,300,WNW,8,30.04,Overcast,No,No,No,No,No,No,12/31/2015,3:28:00
6,45,41,86,0,0,North,8,30.03,Overcast,No,No,No,No,No,No,12/31/2015,3:40:00
7,45,41,86,4.6,310,NW,9,30,Overcast,No,No,No,No,No,No,12/31/2015,3:51:00
8,45,41,86,3.5,280,West,9,30.03,Overcast,No,No,No,No,No,No,12/31/2015,4:22:00
9,45,42.1,90,3.5,270,West,7,30.01,Overcast,No,No,No,No,No,No,12/31/2015,4:51:00
10,45,41,86,0,0,North,8,30.04,Scattered Clouds,No,No,No,No,No,No,12/31/2015,5:14:00
11,46,42.1,86,3.5,0,Variable,10,30.02,Clear,No,No,No,No,No,No,12/31/2015,5:51:00
12,46,42.1,86,4.6,0,Variable,10,30.03,Clear,No,No,No,No,No,No,12/31/2015,6:51:00
13,46,42.1,86,4.6,270,West,9,30.07,Mostly Cloudy,No,No,No,No,No,No,12/31/2015,7:14:00
14,46.9,42.1,83,4.6,290,WNW,10,30.07,Overcast,No,No,No,No,No,No,12/31/2015,7:28:00
15,46.9,42.1,83,3.5,290,WNW,9,30.06,Overcast,No,No,No,No,No,No,12/31/2015,7:51:00
16,46.9,41,80,4.6,0,Variable,10,30.08,Clear,No,No,No,No,No,No,12/31/2015,8:51:00
17,46.9,37,68,5.8,300,WNW,10,30.09,Overcast,No,No,No,No,No,No,12/31/2015,9:51:00
18,46.9,36,66,10.4,310,NW,10,30.09,Overcast,No,No,No,No,No,No,12/31/2015,10:51:00
19,46.9,34,61,9.2,310,NW,10,30.06,Overcast,No,No,No,No,No,No,12/31/2015,11:51:00
20,46.9,34,61,5.8,0,Variable,10,30.04,Overcast,No,No,No,No,No,No,12/31/2015,12:51:00
21,46.9,33.1,59,5.8,300,WNW,10,30.03,Overcast,No,No,No,No,No,No,12/31/2015,13:51:00
22,48,33.1,56,,0,North,10,30.03,Overcast,No,No,No,No,No,No,12/31/2015,14:51:00
23,46.9,33.1,59,5.8,0,Variable,10,30.06,Overcast,No,No,No,No,No,No,12/31/2015,15:51:00
24,46,30,54,8.1,290,WNW,10,30.06,Overcast,No,No,No,No,No,No,12/31/2015,16:51:00
25,46,30.9,56,4.6,300,WNW,10,30.08,Overcast,No,No,No,No,No,No,12/31/2015,17:51:00
26,45,30,56,3.5,0,Variable,10,30.08,Overcast,No,No,No,No,No,No,12/31/2015,18:51:00
27,45,28,52,5.8,0,Variable,10,30.09,Overcast,No,No,No,No,No,No,12/31/2015,19:51:00
28,44.1,27,51,10.4,300,WNW,10,30.1,Overcast,No,No,No,No,No,No,12/31/2015,20:51:00
29,43,26.1,51,,0,North,10,30.09,Overcast,No,No,No,No,No,No,12/31/2015,21:51:00
30,42.1,28,58,6.9,300,WNW,10,30.09,Overcast,No,No,No,No,No,No,12/31/2015,22:51:00
31,42.1,26.1,53,4.6,0,Variable,10,30.08,Overcast,No,No,No,No,No,No,12/31/2015,23:51:00
32,42.1,25,51,4.6,0,Variable,10,30.06,Overcast,No,No,No,No,No,No,1/1/2016,0:51:00
33,41,25,53,3.5,0,Variable,10,30.06,Overcast,No,No,No,No,No,No,1/1/2016,1:51:00
34,41,26.1,55,4.6,280,West,10,30.06,Overcast,No,No,No,No,No,No,1/1/2016,2:51:00
35,41,26.1,55,9.2,280,West,10,30.06,Overcast,No,No,No,No,No,No,1/1/2016,3:51:00
36,39.9,26.1,58,10.4,270,West,10,30.04,Overcast,No,No,No,No,No,No,1/1/2016,4:51:00
37,39.9,26.1,58,6.9,290,WNW,10,30.05,Overcast,No,No,No,No,No,No,1/1/2016,5:51:00
38,39,26.1,60,0,0,North,10,30.06,Overcast,No,No,No,No,No,No,1/1/2016,6:51:00
39,39,25,57,6.9,280,West,10,30.05,Overcast,No,No,No,No,No,No,1/1/2016,7:51:00
40,39,24.1,55,6.9,260,West,10,30.06,Partly Cloudy,No,No,No,No,No,No,1/1/2016,8:51:00
41,39.9,25,55,4.6,290,WNW,10,30.06,Overcast,No,No,No,No,No,No,1/1/2016,9:51:00
42,39.9,24.1,53,5.8,0,Variable,10,30.05,Overcast,No,No,No,No,No,No,1/1/2016,10:51:00
43,39.9,23,51,9.2,270,West,10,30.02,Overcast,No,No,No,No,No,No,1/1/2016,11:51:00
44,39.9,23,51,13.8,280,West,10,29.99,Overcast,No,No,No,No,No,No,1/1/2016,12:51:00
45,39.9,23,51,6.9,0,Variable,10,29.97,Overcast,No,No,No,No,No,No,1/1/2016,13:51:00
46,39,21,49,11.5,290,WNW,10,29.98,Overcast,No,No,No,No,No,No,1/1/2016,14:51:00
47,39,19.9,46,,0,North,10,29.97,Overcast,No,No,No,No,No,No,1/1/2016,15:51:00
48,37.9,19.9,48,11.5,280,West,10,29.97,Clear,No,No,No,No,No,No,1/1/2016,16:51:00
49,37.9,19.9,48,8.1,300,WNW,10,29.99,Clear,No,No,No,No,No,No,1/1/2016,17:51:00
50,37,19.9,50,12.7,290,WNW,10,30,Partly Cloudy,No,No,No,No,No,No,1/1/2016,18:51:00
51,37,19,48,9.2,280,West,10,30.02,Clear,No,No,No,No,No,No,1/1/2016,19:51:00
52,36,19,50,6.9,290,WNW,10,30.03,Clear,No,No,No,No,No,No,1/1/2016,20:51:00
53,35.1,19.9,54,,0,North,10,30.02,Clear,No,No,No,No,No,No,1/1/2016,21:51:00
54,35.1,19,52,5.8,0,Variable,10,30.03,Clear,No,No,No,No,No,No,1/1/2016,22:51:00
55,35.1,16,46,9.2,270,West,10,30.03,Clear,No,No,No,No,No,No,1/1/2016,23:51:00
56,50,36,59,8.1,250,WSW,10,29.77,Clear,No,No,No,No,No,No,1/2/2016,0:51:00
57,50,35.1,57,5.8,260,West,10,29.75,Clear,No,No,No,No,No,No,1/2/2016,1:51:00
58,50,36,59,8.1,250,WSW,10,29.74,Clear,No,No,No,No,No,No,1/2/2016,2:51:00
59,50,35.1,57,5.8,0,Variable,10,29.73,Clear,No,No,No,No,No,No,1/2/2016,3:51:00
60,50,36,59,8.1,260,West,10,29.74,Clear,No,No,No,No,No,No,1/2/2016,4:51:00
61,50,36,59,6.9,0,Variable,10,29.74,Clear,No,No,No,No,No,No,1/2/2016,5:51:00
62,48.9,36,61,5.8,0,Variable,10,29.77,Clear,No,No,No,No,No,No,1/2/2016,6:51:00
63,50,36,59,8.1,240,WSW,10,29.78,Clear,No,No,No,No,No,No,1/2/2016,7:51:00
64,51.1,36,56,5.8,0,Variable,10,29.79,Mostly Cloudy,No,No,No,No,No,No,1/2/2016,8:51:00
