weather_key,temperature,dew_point,humidity,wind_speed,wind_direction_degrees,wind_direction,visibility,pressure,weather_condition,fog,rain,snow,hail,thunder,tornado,weather_date,weather_time
2015/12/31 00:15:00,46.0,43.0,89.0,4.6,40,NE,2.5,30.07,Light Rain,No,Yes,No,No,No,No,2015/12/31,00:15:00
2015/12/31 00:42:00,46.0,43.0,89.0,4.6,0,Variable,4.0,30.06,Overcast,No,No,No,No,No,No,2015/12/31,00:42:00
2015/12/31 00:51:00,46.0,43.0,89.0,3.5,20,NNE,5.0,30.04,Overcast,No,No,No,No,No,No,2015/12/31,00:51:00
2015/12/31 01:51:00,45.0,42.1,90.0,4.6,0,Variable,8.0,30.02,Overcast,No,No,No,No,No,No,2015/12/31,01:51:00
2015/12/31 02:51:00,45.0,42.1,90.0,0.0,0,North,8.0,30.03,Overcast,No,No,No,No,No,No,2015/12/31,02:51:00
2015/12/31 03:28:00,44.1,41.0,89.0,4.6,300,WNW,8.0,30.04,Overcast,No,No,No,No,No,No,2015/12/31,03:28:00
2015/12/31 03:40:00,45.0,41.0,86.0,0.0,0,North,8.0,30.03,Overcast,No,No,No,No,No,No,2015/12/31,03:40:00
2015/12/31 03:51:00,45.0,41.0,86.0,4.6,310,NW,9.0,30.0,Overcast,No,No,No,No,No,No,2015/12/31,03:51:00
2015/12/31 04:22:00,45.0,41.0,86.0,3.5,280,West,9.0,30.03,Overcast,No,No,No,No,No,No,2015/12/31,04:22:00
2015/12/31 04:51:00,45.0,42.1,90.0,3.5,270,West,7.0,30.01,Overcast,No,No,No,No,No,No,2015/12/31,04:51:00
2015/12/31 05:14:00,45.0,41.0,86.0,0.0,0,North,8.0,30.04,Scattered Clouds,No,No,No,No,No,No,2015/12/31,05:14:00
2015/12/31 05:51:00,46.0,42.1,86.0,3.5,0,Variable,10.0,30.02,Clear,No,No,No,No,No,No,2015/12/31,05:51:00
2015/12/31 06:51:00,46.0,42.1,86.0,4.6,0,Variable,10.0,30.03,Clear,No,No,No,No,No,No,2015/12/31,06:51:00
2015/12/31 07:14:00,46.0,42.1,86.0,4.6,270,West,9.0,30.07,Mostly Cloudy,No,No,No,No,No,No,2015/12/31,07:14:00
2015/12/31 07:28:00,46.9,42.1,83.0,4.6,290,WNW,10.0,30.07,Overcast,No,No,No,No,No,No,2015/12/31,07:28:00
2015/12/31 07:51:00,46.9,42.1,83.0,3.5,290,WNW,9.0,30.06,Overcast,No,No,No,No,No,No,2015/12/31,07:51:00
2015/12/31 08:51:00,46.9,41.0,80.0,4.6,0,Variable,10.0,30.08,Clear,No,No,No,No,No,No,2015/12/31,08:51:00
2015/12/31 09:51:00,46.9,37.0,68.0,5.8,300,WNW,10.0,30.09,Overcast,No,No,No,No,No,No,2015/12/31,09:51:00
2015/12/31 10:51:00,46.9,36.0,66.0,10.4,310,NW,10.0,30.09,Overcast,No,No,No,No,No,No,2015/12/31,10:51:00
2015/12/31 11:51:00,46.9,34.0,61.0,9.2,310,NW,10.0,30.06,Overcast,No,No,No,No,No,No,2015/12/31,11:51:00
2015/12/31 12:51:00,46.9,34.0,61.0,5.8,0,Variable,10.0,30.04,Overcast,No,No,No,No,No,No,2015/12/31,12:51:00
2015/12/31 13:51:00,46.9,33.1,59.0,5.8,300,WNW,10.0,30.03,Overcast,No,No,No,No,No,No,2015/12/31,13:51:00
2015/12/31 14:51:00,48.0,33.1,56.0,,0,North,10.0,30.03,Overcast,No,No,No,No,No,No,2015/12/31,14:51:00
2015/12/31 15:51:00,46.9,33.1,59.0,5.8,0,Variable,10.0,30.06,Overcast,No,No,No,No,No,No,2015/12/31,15:51:00
2015/12/31 16:51:00,46.0,30.0,54.0,8.1,290,WNW,10.0,30.06,Overcast,No,No,No,No,No,No,2015/12/31,16:51:00
2015/12/31 17:51:00,46.0,30.9,56.0,4.6,300,WNW,10.0,30.08,Overcast,No,No,No,No,No,No,2015/12/31,17:51:00
2015/12/31 18:51:00,45.0,30.0,56.0,3.5,0,Variable,10.0,30.08,Overcast,No,No,No,No,No,No,2015/12/31,18:51:00
2015/12/31 19:51:00,45.0,28.0,52.0,5.8,0,Variable,10.0,30.09,Overcast,No,No,No,No,No,No,2015/12/31,19:51:00
2015/12/31 20:51:00,44.1,27.0,51.0,10.4,300,WNW,10.0,30.1,Overcast,No,No,No,No,No,No,2015/12/31,20:51:00
2015/12/31 21:51:00,43.0,26.1,51.0,,0,North,10.0,30.09,Overcast,No,No,No,No,No,No,2015/12/31,21:51:00
2015/12/31 22:51:00,42.1,28.0,58.0,6.9,300,WNW,10.0,30.09,Overcast,No,No,No,No,No,No,2015/12/31,22:51:00
2015/12/31 23:51:00,42.1,26.1,53.0,4.6,0,Variable,10.0,30.08,Overcast,No,No,No,No,No,No,2015/12/31,23:51:00
2016/01/01 00:51:00,42.1,25.0,51.0,4.6,0,Variable,10.0,30.06,Overcast,No,No,No,No,No,No,2016/01/01,00:51:00
2016/01/01 01:51:00,41.0,25.0,53.0,3.5,0,Variable,10.0,30.06,Overcast,No,No,No,No,No,No,2016/01/01,01:51:00
2016/01/01 02:51:00,41.0,26.1,55.0,4.6,280,West,10.0,30.06,Overcast,No,No,No,No,No,No,2016/01/01,02:51:00
2016/01/01 03:51:00,41.0,26.1,55.0,9.2,280,West,10.0,30.06,Overcast,No,No,No,No,No,No,2016/01/01,03:51:00
2016/01/01 04:51:00,39.9,26.1,58.0,10.4,270,West,10.0,30.04,Overcast,No,No,No,No,No,No,2016/01/01,04:51:00
2016/01/01 05:51:00,39.9,26.1,58.0,6.9,290,WNW,10.0,30.05,Overcast,No,No,No,No,No,No,2016/01/01,05:51:00
2016/01/01 06:51:00,39.0,26.1,60.0,0.0,0,North,10.0,30.06,Overcast,No,No,No,No,No,No,2016/01/01,06:51:00
2016/01/01 07:51:00,39.0,25.0,57.0,6.9,280,West,10.0,30.05,Overcast,No,No,No,No,No,No,2016/01/01,07:51:00
2016/01/01 08:51:00,39.0,24.1,55.0,6.9,260,West,10.0,30.06,Partly Cloudy,No,No,No,No,No,No,2016/01/01,08:51:00
2016/01/01 09:51:00,39.9,25.0,55.0,4.6,290,WNW,10.0,30.06,Overcast,No,No,No,No,No,No,2016/01/01,09:51:00
2016/01/01 10:51:00,39.9,24.1,53.0,5.8,0,Variable,10.0,30.05,Overcast,No,No,No,No,No,No,2016/01/01,10:51:00
2016/01/01 11:51:00,39.9,23.0,51.0,9.2,270,West,10.0,30.02,Overcast,No,No,No,No,No,No,2016/01/01,11:51:00
2016/01/01 12:51:00,39.9,23.0,51.0,13.8,280,West,10.0,29.99,Overcast,No,No,No,No,No,No,2016/01/01,12:51:00
2016/01/01 13:51:00,39.9,23.0,51.0,6.9,0,Variable,10.0,29.97,Overcast,No,No,No,No,No,No,2016/01/01,13:51:00
2016/01/01 14:51:00,39.0,21.0,49.0,11.5,290,WNW,10.0,29.98,Overcast,No,No,No,No,No,No,2016/01/01,14:51:00
2016/01/01 15:51:00,39.0,19.9,46.0,,0,North,10.0,29.97,Overcast,No,No,No,No,No,No,2016/01/01,15:51:00
2016/01/01 16:51:00,37.9,19.9,48.0,11.5,280,West,10.0,29.97,Clear,No,No,No,No,No,No,2016/01/01,16:51:00
2016/01/01 17:51:00,37.9,19.9,48.0,8.1,300,WNW,10.0,29.99,Clear,No,No,No,No,No,No,2016/01/01,17:51:00
2016/01/01 18:51:00,37.0,19.9,50.0,12.7,290,WNW,10.0,30.0,Partly Cloudy,No,No,No,No,No,No,2016/01/01,18:51:00
